개방자치단체코드,관리번호,시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,최종수정시점
3000000,202030000000400002,서울특별시,종로구,없음,없음,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,주민센터방문 혹은 종로구홈페이지에 신청 후 배출,집앞,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,19:00,21:00,19:00,21:00,19:00,21:00,19:00,21:00,토+구정연휴+추석연휴,청소행정과,02-2148-2373,2020-07-10,2020-07-13 15:58:28
3010000,202130100000400001,서울특별시,중구,서울시 중구,서울시 중구,문전수거,"내집, 내점포 앞","일반쓰레기종량제봉투에 담아 내집, 내점포 앞에 배출","음식물쓰레기 종량제봉투에 담아 내집, 내점포 앞에 배출(공동주택단지는 음식물종량기 사용)","내용물 확인이 가능한 투명(반투명)한 용기에 담아 잘 묶어 내집, 내점포 앞에 배출",대형폐기물 대행업체(남부환경 1577-6731) 에 배출신고(처리수수료 납부)한 후 배출 ※ '빼기' 어플리케이션 활용 가능,"내집, 내점포 앞에 배출",월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,19:00,00:00,19:00,00:00,19:00,00:00,06:00,15:00,"동별상이(일요일 배출금지 : 소공,회현,을지로동 / 토요일 배출금지 : 중림,필,장충,광희,다산,신당,약수,청구,신당5,동화,황학동 ※ 명동은 별도 배출금지 요일 없음)",청소행정과,02-3396-5453,2025-11-04,2025-11-04 17:38:33
3020000,202230200000400001,서울특별시,용산구,없음,없음,문전수거,집앞+내상가앞,규격봉투에 넣어 지정된 요일에  배출,물기를 최대한 줄여 음식물만 음식물 전용 종량제 봉투에 담아 지정된 요일에 배출,내용물을 깨끗이 비우고 투명봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,23:59,,,명절당일+공휴일,청소행정과,02-2199-7300,2023-11-30,2023-12-05 16:00:33
3030000,202030300000400002,서울특별시,성동구,2권역,사근동+행당1동+행당2동+응봉동+금호1가동+금호2가동+금호4가동+옥수2동+성수1가1동+성수1가2동+성수2가3동,문전수거,집앞,"종량제 봉투에 담아 동별 배출요일 및 시간에 맞춰 내 집, 내 점포 앞에 배출","1)일반주택-음식물 종량제봉투에 넣어 전용 용기에 담아 지정 요일, 지정 시간에 내 집 앞 배출2)공동주택-단지 내 음식물 전용 용기에 배출",1)용기 내 각종 이물질 제거2)혼합재질로 구성된 품목은 최대한 재질별로 분리하여 배출3)투명한 비닐봉투에 넣어 품목별로 배출,수거대행업체에 위탁처리,고려도시개발+성동용역+신흥환경+나라환경,월+수+금,월+수+금,월+수+금,20:00,2400,20:00,2400,20:00,2400,09:00,18:00,추석명절+설명절+매주토요일(변동가능),청소행정과,02-2286-5525,2020-12-08,2020-12-08 17:36:55
3030000,202030300000400001,서울특별시,성동구,1권역,왕십리도선동+왕십리제2동+마장동+금호3가동+옥수1동+성수2가1동+송정동+용답동,문전수거,집앞,"종량제 봉투에 담아 동별 배출요일 및 시간에 맞춰 내 집, 내 점포 앞에 배출","1)일반주택-음식물 종량제봉투에 넣어 전용 용기에 담아 지정 요일, 지정 시간에 내 집 앞 배출2)공동주택-단지 내 음식물 전용 용기에 배출",1)용기 내 각종 이물질 제거2)혼합재질로 구성된 품목은 최대한 재질별로 분리하여 배출3)투명한 비닐봉투에 넣어 품목별로 배출,수거대행업체에 위탁처리,고려도시개발+성동용역+신흥환경+나라환경,일+화+목,일+화+목,일+화+목,20:00,2400,20:00,2400,20:00,2400,09:00,18:00,추석명절+설명절+매주토요일(변동가능),청소행정과,02-2286-5525,2020-12-08,2020-12-08 17:36:55
3040000,202030400000400002,서울특별시,광진구,2권역,중곡3동+중곡4동+구의1동+구의3동+능동+군자동+자양3동+자양4동,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,없음,없음,월+수+금,월+수+금,월+수+금,19:00,2400,19:00,2400,19:00,2400,,,토요일+공휴일,청소과,02-450-1375,2020-07-01,2020-07-16 15:30:56
3040000,202030400000400001,서울특별시,광진구,1권역,중곡1동+중곡2동+구의2동+광장동+화양동+자양1동+자양2동,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,없음,없음,일+화+목,일+화+목,일+화+목,19:00,2400,19:00,2400,19:00,2400,,,토요일+공휴일,청소과,02-450-1375,2020-07-01,2020-07-16 15:30:56
3050000,202430500000400002,서울특별시,동대문구,서울특별시 동대문구,"제기동,답십리2동,장안1동,청량리동,회기동,이문동",문전수거,문전배출,"일반종량제봉투,특수규격봉투(일명 특수마대)에 담아 배출",음식물 종량제 봉투에 담아 배출,투명한 봉투에 담아 배출,청소행정과에 문의,청소행정과에 문의,일+화+목,일+화+목,일+화+목,18:00,21:00,18:00,21:00,18:00,21:00,,,청소행정과에 문의,청소행정과,02-2127-4732,2024-07-19,2024-07-25 11:00:33
3050000,202430500000400001,서울특별시,동대문구,서울특별시 동대문구,"용신동,전농동,답십리1동,장안2동,휘경동",문전수거,문전배출,"일반종량제봉투,특수규격봉투(일명 특수마대)에 담아 배출",음식물종량제봉투에 담아 배출,투명한 비닐봉투에 담아 배출,청소행정과에 문의,청소행정과에 문의,월+수+금,월+수+금,월+수+금,18:00,21:00,18:00,21:00,18:00,21:00,,,청소행정과에 문의,청소행정과,02-2127-4732,2024-07-19,2024-07-25 11:00:47
3060000,202430600000400003,서울특별시,중랑구,중랑구전역,"망우본동, 망우3동, 면목본동, 면목2동, 면목3.8동, 면목4동, 면목5동, 면목7동, 묵1동, 묵2동, 상봉1동, 상봉2동, 신내1동, 신내2동, 중화1동, 중화2동",문전수거,문전배출,종량제봉투,"종량제봉투, 납부필증, RFID",투명비닐봉투,처리업체와협의,처리업체와협의,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,,,토요일,청소행정과,02-2094-1930,2025-10-23,2025-10-23 16:34:43
