시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경상남도,통영시,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,110,180,340,670,0,0,0,0,0,0,0,자원순환과,055-650-1330,2026-02-04,5330000,경상남도 통영시
경상남도,통영시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,340,670,0,0,0,0,0,0,0,자원순환과,055-650-1330,2026-02-04,5330000,경상남도 통영시
경상남도,통영시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,180,0,0,0,1740,0,2590,0,0,0,자원순환과,055-650-1330,2026-02-04,5330000,경상남도 통영시
전북특별자치도,전주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,230,460,0,0,0,0,0,0,0,청소지원과,063-281-2843,2026-02-10,4641000,전북특별자치도 전주시
전북특별자치도,전주시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,청소지원과,063-281-2843,2026-02-10,4641000,전북특별자치도 전주시
전북특별자치도,전주시,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,청소지원과,063-281-2843,2026-02-10,4641000,전북특별자치도 전주시
전북특별자치도,전주시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,230,460,0,1140,0,0,0,0,0,청소지원과,063-281-2843,2026-02-10,4641000,전북특별자치도 전주시
서울특별시,영등포구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,1020,2040,0,0,0,0,0,0,0,청소과,02-2670-3437,2026-01-09,3180000,서울특별시 영등포구
서울특별시,영등포구,규격봉투,기타,음식물쓰레기,가정용,100,0,190,0,300,500,1000,2000,0,0,0,0,0,0,0,청소과,02-2670-3437,2026-01-09,3180000,서울특별시 영등포구
서울특별시,영등포구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,0,0,0,0,0,0,청소과,02-2670-3437,2026-01-09,3180000,서울특별시 영등포구
서울특별시,영등포구,규격봉투,소각용,생활쓰레기,가정용,0,0,60,0,0,130,250,490,740,1250,0,1880,0,0,0,청소과,02-2670-3437,2026-01-09,3180000,서울특별시 영등포구
서울특별시,강서구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,자원순환과,02-2600-4057,2026-02-05,3150000,서울특별시 강서구
서울특별시,강서구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,자원순환과,02-2600-4057,2026-02-05,3150000,서울특별시 강서구
서울특별시,강서구,규격봉투,소각용,음식물쓰레기,가정용,100,0,190,0,300,500,1000,2000,0,0,0,0,0,0,0,자원순환과,02-2600-4057,2026-02-05,3150000,서울특별시 강서구
서울특별시,강서구,규격봉투,소각용,생활쓰레기,가정용,0,0,60,0,90,130,250,490,740,1250,0,1880,0,0,0,자원순환과,02-2600-4057,2026-02-05,3150000,서울특별시 강서구
충청남도,당진시,재사용규격봉투,소각용,생활쓰레기,가정용,40,0,0,0,80,130,260,510,760,1260,0,0,0,0,0,자원순환과,041-350-4314,2026-01-15,5680000,충청남도 당진시
충청남도,당진시,규격봉투,소각용,생활쓰레기,가정용,40,0,0,0,80,130,260,510,760,1260,0,0,0,0,0,자원순환과,041-350-4314,2026-01-15,5680000,충청남도 당진시
충청남도,당진시,규격봉투,소각용,음식물쓰레기,가정용,40,0,0,0,80,130,260,510,760,1260,0,0,0,0,0,자원순환과,041-350-4314,2026-01-15,5680000,충청남도 당진시
충청남도,당진시,특수규격마대,소각용,생활쓰레기,"기타(이사, 정원손질 등) 중에서일반",0,0,0,0,0,0,0,1000,0,0,3000,0,0,0,0,자원순환과,041-350-4315,2026-01-15,5680000,충청남도 당진시
경기도,화성시,특수규격마대,기타,생활쓰레기,가정용,0,0,0,0,0,0,0,2280,0,0,0,0,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
경기도,화성시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,2530,0,3800,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
경기도,화성시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,600,0,0,0,0,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
경기도,화성시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,150,300,600,0,1500,0,0,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
경기도,화성시,규격봉투,기타,음식물쓰레기,가정용,60,0,0,0,180,290,580,1170,0,0,0,0,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
경기도,화성시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,600,0,1500,0,2250,0,0,0,자원순환과,031-5189-6897,2026-01-20,5530000,경기도 화성시
전북특별자치도,부안군,특수규격마대,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,재사용규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,350,700,0,0,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,350,700,0,0,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,350,700,0,0,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,200,350,700,1000,1600,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
